Magic skill,Spell,Type,Action phase Target,Action phase Effect,Personal combat encounters effect,Battle magic phase effect,Engine reference (GM portal)
White,Resurrect,Action,"A dead hero whose body lies in the province the caster occupies during that phase, and who has not already been resurrected earlier in the turn. The player chooses from dead heroes they know of, listed with the province the body lies in and the turn they fell. Kings can never be resurrected, and neither can a hero who ever served ANOTHER realm (a rival's hero, or one a rival released or who deserted them) — only your own fallen and wanderers never in a rival's pay.","Brings the hero back to life at FULL hit points (their maxHp), under the caster's control, stripped of all magic items and all armies. One resurrection per body per turn.",NONE,NONE,fn white_resurrect | target:character | phase:true encounter:false
White,Part Sea,Action,A sea province the caster is currently in or adjacent to.,"The sea province becomes plains for the rest of the turn, so land armies may cross it. No fleet may enter or leave it from the phase after the spell is cast. Cancels a Flood on the same tile. The original sea terrain is restored at the end of the turn.",NONE,NONE,fn white_part_sea | target:province | phase:true encounter:false
White,Bless Province,Action,"The province the caster is currently in, or a province adjacent to it.",The province's tax base is increased by 60% at tax collection this turn. Only one Bless may affect a province at a time - they do not stack.,NONE,NONE,fn white_bless | target:province | phase:true encounter:false | all caster-level effect scaling capped at level 5 v2026.09.06-2040
White,Holy Symbol,Combat,NONE,NONE,"The opponent suffers -10% per caster level to hit, doubled against undead and demons.",All enemy undead units fight at 75% of their base strength for the battle (a flat reduction of 25% of base strength).,fn white_holy_symbol | phase:false encounter:true | battle-magic eligible | all caster-level effect scaling capped at level 5 v2026.09.06-2040
White,Spiritwrack,Combat,NONE,NONE,"The target is silenced for 1 + floor(caster level / 2) combat rounds (maximum 4): it cannot cast spells or use archery, and its melee damage is halved. Against a guardian whose weakness is White Magic the cast auto-takes at 95% and lasts one round longer (maximum 5). Powerful (25%) and Legendary (40%) guardians roll to shrug off the binding at the start of each round after the first round it takes effect.",All enemy missile units fight at half their base strength for the battle.,"fn white_spiritwrack | phase:false encounter:true | battle-magic eligible | silence 1+floor(lvl/2) max 4, weakness +1 max 5, Powerful/Legendary shrug 25%/40% v2026.09.26"
Psychic,Charm,Action & Combat,"A wandering hero, or an enemy hero leading no armies, standing in the caster's province during that phase. The player must have known the target's location at the start of the turn; if the target has since moved away, the spell fails. Kings are immune.","A wandering hero joins the caster's service at no hiring cost (upkeep is still paid). An enemy hero leading no armies comes under the casting player's command for the rest of the turn, then reverts to their original owner at the end of the turn (and is still paid by that owner).",Doubles the chance of a successful Flee attempt later in the same combat.,NONE,fn psychic_charm | target:character | phase:true encounter:true | selectable in combat since v2026.07.18-1442
Psychic,Oratory,Action,"The caster themselves, or a friendly character in the same province during the same phase.","Every army travelling with the target is heartened and fights one quality tier higher for the rest of the turn (Green becomes Average, Average becomes Veteran, and so on; Elite is already the ceiling). Casting it more than once is not cumulative.",NONE,NONE,"fn psychic_oratory | target:character | phase:true encounter:false | sets _oratoryBoost, read by armStr"
Psychic,Clairvoyance,Action,Any character in any province in the world that the player has seen at any point in the game.,"Everything that happens to that character for the rest of the turn becomes known to the caster, and the caster also learns the target's full skill levels (which persist in the player's intel across turns). A caster may have only one Clairvoyance active at a time; casting again replaces the previous one. If the chosen target is dead, the caster is instead told that they are dead and which province the body lies in.",NONE,NONE,fn psychic_clairvoyance | target:character | phase:true encounter:false | dead-target report added v2026.07.18-1442
Psychic,Psychic Blast,Action & Combat,A neutral or enemy character standing in the caster's province during that phase.,"The target PERMANENTLY loses two skill levels, each from a randomly chosen skill they hold (both can fall on the same skill).","The target is helpless (no attack, spell, item use or flight) for 1 round + 1 per two levels of Psychic (1 at Psychic 1, 3 at Psychic 5); Dreamstone +1 round.","Negates the enemy commander's Druid skill for the battle (they lead as if Druid 0: their Creatures and Monsters make no special strikes, and every shortfall penalty applies in full).",fn psychic_blast | target:character | phase:true encounter:true | battle-magic eligible
Psychic,Telekinetic Storm,Action & Combat,A neutral or enemy hero who is leading armies and is standing in the caster's province during that phase.,A number of the target's army units equal to the caster's skill level (capped at the number of units they lead) are each tested; each has a 50% chance to fight as if one experience level lower in its NEXT BATTLE THIS TURN. This is TEMPORARY - the unit's actual quality tier is unchanged and it recovers at the end of the battle (and at the end of the turn if no battle occurs).,Deals damage equal to a quarter of the target's maximum hit points; the caster takes a quarter of that amount as recoil.,Halves the enemy commander's Tactical bonus for the battle (×2.0 becomes ×1.5).,fn psychic_storm | target:character | phase:true encounter:true | battle-magic eligible | action effect made battle-scoped v2026.07.18-1442 | all caster-level effect scaling capped at level 5 v2026.09.06-2040
